,post_id,text,annotatorid1,target1,label1,annotatorid2,target2,label2,annotatorid3,target3,label3,rationales,final_label,final_target_category
140,18721090_gab,"['the', 'labour', 'party', 'has', '<number>', 'mps', 'in', 'prison', 'for', 'paedophilia', '<number>', 'mps', 'and', 'councillors', 'on', 'the', 'sex', 'registry', '<number>', 'million', 'white', 'kids', 'raped', 'by', 'paki', 'muslims', 'all', 'labour', 'voters', 'covered', 'up', 'by', 'labour', 'councils', 'mps', 'and', 'a', 'pm']",40,['Arab'],hatespeech,27,['Islam'],offensive,4,['Islam'],hatespeech,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",hatespeech,['Islam']
151,1178816603619758080_twitter,"['i', 'raped', 'a', 'sheep', 'because', 'it', 'sneezed', 'at', 'a', 'pig']",44,['None'],offensive,4,['None'],normal,45,['None'],normal,[],normal,
172,1179096960537632768_twitter,"['listening', 'to', '<number>', 'right', 'now', 'and', 'man', 'these', 'callers', 'are', 'morons', 'in', 'hillbilly', 'voice', 'what', 'if', 'we', 'switched', 'aj', 'hinch', 'with', 'bill', 'o', 'brien', 'would', 'the', 'texans', 'do', 'well', 'good', 'lord']",4,['None'],normal,17,['None'],normal,9,['None'],normal,[],normal,
178,1178501413346906113_twitter,"['also', 'in', 'this', 'same', 'vibe', 'any', 'wigger', 'who', 'calls', 'white', 'missionaries', 'who', 'save', 'the', 'lives', 'of', 'non', 'white', 'children', 'in', 'africa', 'india', 'ect', 'a', 'race', 'traitor', 'is', 'an', 'actual', 'h0m0']",4,"['Caucasian', 'Homosexual']",offensive,17,"['Caucasian', 'Homosexual']",offensive,5,['None'],normal,"[[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]]",offensive,"['Caucasian', 'Homosexual']"
188,22358188_gab,"['do', 'not', 'worry', 'uk', 'you', 'worked', 'hard', 'cannot', 'afford', 'carehome', 'fees', 'we', 'take', 'your', 'house', 'oh', 'look', 'in', 'london', 'another', 'muzzie', 'family', 'in', 'a', 'nice', 'flat', 'good', 'on', 'you', 'where', 'the', 'tex', 'goes', 'its', 'a', 'shocker']",4,['Islam'],hatespeech,2,['Islam'],offensive,47,['Islam'],hatespeech,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",hatespeech,['Islam']
218,1125244030948921344_twitter,"['cheating', 'is', 'not', 'the', 'wave', 'grow', 'up', 'you', 'dumbass', 'nigga']",4,['African'],normal,6,['None'],normal,8,['African'],hatespeech,[],normal,['African']
224,1178765634265636864_twitter,"['do', 'u', 'have', 'to', 'be', 'retarded', 'to', 'be', 'a', 'lino']",4,['None'],normal,35,['Disability'],offensive,53,['None'],normal,[],normal,
231,1179043438131417088_twitter,"['<user>', '<user>', 'why', 'will', 'muslim', 'take', 'refugee', 'in', 'india', 'when', 'bangladesh', 'and', 'pakistan', 'r', 'islamic', 'states', 'isnt', 'india', 'supposed', 'to', 'be', 'unsafe', 'for', 'muslims', 'they', 'should', 'leave', 'for', 'their', 'country', 'asap', 'for', 'their', 'safety']",1,['None'],normal,34,['None'],normal,9,['None'],normal,[],normal,
236,1179080956004769795_twitter,"['<user>', '<user>', '<user>', '<user>', '<user>', '<user>', 'yeah', 'just', 'the', 'backwoods', 'redneck', 'portion', 'of', 'society', 'in', 'oklahoma', 'that', 'does', 'not', 'even', 'know', 'other', 'sports', 'exist']",1,['None'],normal,34,['None'],normal,9,['Women'],offensive,[],normal,
238,19227442_gab,"['i', 'd', 'rather', 'get', 'fisted', 'by', 'a', 'nigger', 'tbh']",55,['African'],offensive,4,['African'],offensive,30,['African'],offensive,"[[0, 0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 1, 0]]",offensive,['African']
245,13162665_gab,"['i', 'hope', 'the', 'niglets', 'keep', 'going', 'down', 'on', 'their', 'knees', 'its', 'the', 'only', 'realistic', 'depiction', 'of', 'blacks', 'on', 'fake', 'news', 'tv', 'any', 'chance', 'of', 'getting', 't', 'shirts', 'made', 'that', 'say', '<user>', 'boycott', 'nfl', 'tebow', 'rule', 'cant', 'pray', 'owners', 'are', 'pleased', 'with', 'their', 'blacks', 'down', 'on', 'their', 'knees']",7,['African'],offensive,57,['African'],offensive,11,['African'],offensive,"[[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1], [0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1], [0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",offensive,['African']
248,24227903_gab,"['what', 'the', 'hell', 'is', 'it', 'with', 'shitty', 'gab', 'trolls', 'and', 'calling', 'people', 'monkeys', 'maybe', 'that', 'kike', 'freud', 'was', 'right']",7,['Jewish'],offensive,57,"['African', 'Jewish']",offensive,11,['Jewish'],offensive,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]]",offensive,['Jewish']
249,1178618820229025793_twitter,"['<user>', '<user>', '<user>', 'yes', 'men', 'commit', 'male', 'violence', 'i', 'actually', 'wouldnt', 'envy', 'a', 'lesbian', 'being', 'confonted', 'with', 'a', 'penis', 'for', 'a', 'number', 'of', 'reasons', 'the', 'fear', 'of', 'being', 'raped', 'or', 'being', 'beaten', 'for', 'turning', 'down', 'the', 'trans', 'woman', 'being', 'just', 'one']",58,['None'],normal,18,['None'],normal,2,['Men'],hatespeech,[],normal,
265,12290514_gab,"['france', 'problems', 'are', 'not', 'going', 'to', 'fix', 'themselves', 'and', 'this', 'attack', 'was', 'just', 'the', 'tip', 'of', 'the', 'iceberg', 'uncontrolled', 'immigration', 'has', 'been', 'an', 'ongoing', 'issue', 'in', 'france', 'for', 'over', 'a', 'decade', 'the', 'only', 'longstanding', 'solution', 'would', 'be', 'to', 'deport', 'every', 'last', 'moslem', 'back', 'to', 'their', 'home', 'countries', 'mega']",7,"['Refugee', 'Islam']",offensive,6,['Islam'],offensive,4,['Islam'],hatespeech,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]]",offensive,['Islam']
285,22513839_gab,"['dad', 'should', 'have', 'told', 'the', 'muzrat', 'whore', 'to', 'fuck', 'off', 'and', 'went', 'in', 'anyway']",62,['Other'],hatespeech,63,['Other'],hatespeech,6,['Islam'],hatespeech,"[[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0]]",hatespeech,
287,4701852_gab,"['fanbloodytastic', 'by', 'time', 'these', 'leeches', 'are', 'held', 'to', 'account', 'especially', 'the', 'muzzie', 'scum', 'taking', '<number>', 'wives', 'breeding', 'kids', 'like', 'rabbits', 'in', 'order', 'to', 'increase', 'welfare', 'payments', 'potus', 'ur', 'simply', 'the', 'best', '👍', '👏', '👏', '👏', '👏']",4,['Islam'],hatespeech,63,['Other'],hatespeech,6,['Islam'],hatespeech,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",hatespeech,['Islam']
319,15239458_gab,"['whitey', 'prevails', 'for', 'a', 'change', 'miss', 'south', 'africa', 'beats', 'out', 'a', 'nig', 'two', 'spics', 'and', 'a', 'gook', 'to', 'win', 'miss', 'u']",4,"['Asian', 'African', 'Hispanic']",hatespeech,67,"['Refugee', 'African']",hatespeech,25,['African'],hatespeech,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]]",hatespeech,['African']
332,1178904771538890752_twitter,"['<user>', '<user>', 'welcome', 'to', 'modern', 'britain', 'the', 'country', 'where', 'freedom', 'of', 'speech', 'being', 'white', 'heterosexual', 'male', 'female', 'non', 'muslim', 'is', 'now', 'classed', 'as', 'being', 'racist', 'fascist', 'homophobic', 'islamophobic', 'made', 'up', 'word', 'the', 'country', 'is', 'falling']",18,['None'],normal,1,['None'],normal,3,['None'],normal,[],normal,
338,26046364_gab,"['meet', 'the', 'british', 'nigger', 'bitch', 'princess', 'criminal', 'trash', 'family', '🤣']",68,['African'],hatespeech,9,['African'],hatespeech,56,['African'],hatespeech,"[[0, 0, 0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 1, 0, 0, 1, 1, 0], [0, 0, 0, 1, 1, 1, 0, 0, 0, 0]]",hatespeech,['African']
344,24096893_gab,"['lets', 'hope', 'so', 'gas', 'the', 'lot', 'including', 'the', 'nigger']",3,['African'],hatespeech,4,"['African', 'Jewish']",hatespeech,13,['African'],offensive,"[[0, 0, 0, 1, 1, 1, 0, 0, 1], [0, 0, 0, 1, 1, 1, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0, 1]]",hatespeech,['African']
352,1178949635647229952_twitter,"['<user>', '<user>', '<user>', 'lol', 'no', 'one', 'is', 'supporting', 'bhikharistan', 'except', 'pro', 'muslim', 'countries', 'like', 'turkey', 'malaysia', 'no', 'one', 'gives', 'a', 'fuck', 'about', 'porkistan']",44,['Arab'],hatespeech,18,['None'],normal,58,['None'],normal,[],normal,
353,1105655062599208960_twitter,"['suck', 'out', 'you', 'faggot']",4,['Homosexual'],offensive,6,['Homosexual'],offensive,69,['Homosexual'],offensive,"[[0, 0, 0, 1], [1, 1, 1, 1], [0, 0, 0, 1]]",offensive,['Homosexual']
399,1178322843022450688_twitter,"['<user>', 'bring', 'out', 'the', 'uneducated', 'hillbillies', 'and', 'white', 'supremacists', 'to', 'our', 'sign', 'meeting', 'and', 'donate', 'to', 'our', 'right', 'wing', 'cause', 'duh', 'i', 'work', 'oil', 'duh', 'i', 'like', 'truck', 'duh', 'me', 'hate', 'muslim', 'duh', 'i', 'can', 'not', 'read']",4,['Caucasian'],normal,18,['None'],normal,1,['None'],normal,[],normal,
423,21969771_gab,"['he', 'a', 'jew', 'when', 'it', 'convenient', 'for', 'him', 'and', 'a', 'fellow', 'white', 'person', 'when', 'thats', 'more', 'convenient', 'just', 'like', 'literally', 'every', 'other', 'kike']",75,"['Caucasian', 'Jewish']",offensive,72,['Jewish'],hatespeech,4,['Jewish'],hatespeech,"[[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1], [1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1]]",hatespeech,['Jewish']
436,1160816648783159296_twitter,"['color', 'blue', 'and', 'white', 'porcelain']",61,['None'],normal,6,['None'],normal,7,['None'],normal,[],normal,
445,1179094087212978177_twitter,"['<user>', '<user>', '<user>', 'only', 'a', 'person', 'with', 'considerable', 'privilege', 'could', 'reasonably', 'write', 'in', 'a', 'candidate', 'out', 'of', 'pettiness', 'when', 'the', 'alternative', 'is', 'trump', 'trust', 'and', 'believe', 'that', 'my', 'queer', 'ass', 'does', 'not', 'have', 'that', 'luxury', 'women', 'poc', 'immigrants', 'etc', 'do', 'not', 'have', 'that', 'luxury', 'grow', 'up']",18,['None'],normal,19,['None'],normal,22,['None'],normal,[],normal,
463,1179086920573341696_twitter,"['amber', 'guyer', 'ass', 'better', 'get', 'the', 'maximum', 'sentence', 'but', 'ik', 'her', 'white', 'ass', 'bout', 'to', 'skate', 'i', 'can', 'feel', 'it', 'in', 'my', 'spirit', '😒']",18,['None'],normal,9,['None'],normal,6,['None'],normal,[],normal,
479,1179041169382264832_twitter,"['<user>', '<user>', '<user>', 'millions', 'of', 'yemeni', 'children', 'starve', 'because', 'of', 'trump', 'policies', 'republicans', 'i', 'sleep', 'a', 'woman', 'gets', 'raped', 'and', 'does', 'not', 'want', 'to', 'carry', 'his', 'baby', 'republicans', 'real', 'shit']",10,['None'],normal,54,['Women'],offensive,1,['None'],normal,[],normal,
480,1178708115035955201_twitter,"['smh', 'fuckin', 'wit', 'them', 'white', 'girls', 'gon', 'get', 'u', 'in', 'jail', 'bruh']",4,['Caucasian'],normal,54,['None'],normal,1,['None'],normal,[],normal,
515,6152693_gab,"['western', 'women', 'use', 'vagina', 'stereo', 'speaker', 'to', 'blast', 'unborn', 'babies', 'with', 'feminist', 'female', 'empowerment', 'musics', 'of', 'negress', 'beyonce', 'hag', 'madonna', 'breasticular', 'katy', 'perries', 'slav', 'expecting', 'mothers', 'enjoy', 'cerebral', 'classical', 'music', 'of', 'tchaikovsky', 'dvorák', 'mussorgsky', 'stravinsky', 'free', 'of', 'vaginal', 'intrusion']",4,['Women'],offensive,15,['None'],normal,9,['None'],normal,[],normal,
517,16705606_gab,"['in', 'fact', 'i', 'can', 'not', 'find', 'anything', 'fuzzy', 'or', 'warm', 'about', 'my', 'dutch', 'ness', 'we', 'are', 'a', 'pretty', 'dour', 'people', 'always', 'having', 'to', 'stick', 'our', 'fingers', 'in', 'dykes', 'while', 'wearing', 'wooden', 'shoes', 'does', 'that', 'to', 'you']",9,['None'],normal,4,['None'],normal,41,"['Women', 'Homosexual']",offensive,[],normal,
522,1179025510350897152_twitter,"['<user>', 'oh', 'yeah', 'that', 'too', 'before', 'twitter', 'and', 'before', '<number>', 'months', 'ago', 'i', 'only', 'knew', 'one', 'lesbian', 'couple', 'that', 'it', 'all', 'my', 'friends', 'were', 'cishet', 'white', 'suburban', 'guys']",64,['None'],normal,10,['None'],normal,9,['None'],normal,[],normal,
524,1178757718791905280_twitter,"['<user>', 'same', 'with', 'arabs', 'loll', 'im', 'arab', 'but', 'white', 'af']",64,['None'],normal,10,['None'],normal,9,['None'],normal,[],normal,
525,19112164_gab,"['fuck', 'her', 'she', 'nothing', 'but', 'a', 'kike', 'that', 'will', 'play', 'which', 'ever', 'side', 'that', 'will', 'get', 'her', 'paid']",64,['Jewish'],hatespeech,4,['Jewish'],hatespeech,9,['Jewish'],hatespeech,"[[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",hatespeech,['Jewish']
562,1177974580964708353_twitter,"['crash', 'on', 'eb', 'i', '<number>', 'location', 'eb', 'i', '<number>', 'at', 'van', 'dyke', 'lanes', 'blocked', 'left', 'shoulder', 'left', 'lane', 'event', 'type', 'crash', 'county', 'macomb']",18,['None'],normal,34,['None'],normal,30,['None'],normal,[],normal,
577,1179088988445007875_twitter,"['<user>', '<user>', 'racist', 'scum', 'who', 'is', 'also', 'a', 'threat', 'to', 'innocent', 'citizens', 'are', 'embraced', 'by', 'deblasio', 'horrible', 'my', 'prayers', 'to', 'this', 'woman', 'white', 'black', 'green', 'yellow', 'people', 'should', 'not', 'go', 'unchecked', 'with', 'this', 'random', 'violence', 'hate']",85,['None'],normal,56,['None'],normal,86,['None'],normal,[],normal,
579,13912847_gab,"['i', 'am', 'a', 'nigger', 'rabbi', 'who', 'sells', 'bacon']",4,"['African', 'Jewish']",hatespeech,68,"['African', 'Jewish']",offensive,3,"['African', 'Jewish']",hatespeech,"[[0, 0, 0, 1, 1, 0, 0, 1], [0, 0, 0, 1, 1, 1, 1, 1], [0, 0, 0, 1, 1, 0, 0, 0]]",hatespeech,"['African', 'Jewish']"
613,1179096587571646464_twitter,"['tomorrow', 'precap', 'lit', 'sidharth', 'shukla', 'wow', 'yaar', 'i', 'think', 'he', 'will', 'kill', 'all', 'the', 'task', 'in', 'season', 'bb13', 'bigg', 'boss', '13']",1,['None'],normal,58,['None'],normal,18,['None'],normal,[],normal,
622,1179039577777983488_twitter,"['in', 'recent', 'years', 'we', 'have', 'frequently', 'seen', 'poor', 'people', 'suffer', 'immensely', 'in', 'avoidable', 'tragedies', 'from', 'the', 'grenfell', 'tower', 'block', 'fire', 'in', 'london', 'to', 'the', 'burning', 'of', 'makeshift', 'refugee', 'camps', 'across', 'europe']",9,['None'],normal,70,['None'],normal,3,['None'],normal,[],normal,
624,23169645_gab,"['idiot', 'boy', 'trudeau', 'his', 'somali', 'moslem', 'immigration', 'minister', 'ahmed', 'hussen', 'want', 'to', 'bring', '<number>', '<number>', 'mildly', 'retarded', 'somali', 'to', 'canada', 'to', 'repopulate', 'canada', 'with', 'the', 'dumbest', 'people', 'on', 'the', 'face', 'of', 'the', 'earth']",4,"['African', 'Islam']",hatespeech,70,"['Other', 'Disability', 'Other', 'Other', 'Islam', 'Other']",offensive,3,"['Refugee', 'African']",hatespeech,"[[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",hatespeech,"['African', 'Islam']"
635,10053426_gab,"['ventura', 'only', 'governor', 'to', 'refund', 'overpaid', 'taxes', 'back', 'to', 'those', 'who', 'paid', 'them', 'burqa', 'betsy', 'just', 'fired', 'gay', 'police', 'chief', 'who', 'demanded', 'open', 'investigation', 'against', 'mudslime', 'cop', 'that', 'murdered', 'white', 'christian', 'woman', 'appointed', 'mudslime', 'as', 'new', 'chief', 'burqa', 'betsy', 'will', 'lose', 'gay', 'vote', 'and', 'mayor', 'position']",7,['Islam'],offensive,6,['Islam'],offensive,27,['Islam'],offensive,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",offensive,['Islam']
637,12585712_gab,"['the', 'detroit', 'lions', 'revoked', 'a', 'season', 'ticket', 'holder', 'tickets', 'because', 'he', 'said', 'nigger', 'on', 'twitter', 'but', 'they', 'insist', 'their', 'players', 'are', 'allowed', 'to', 'express', 'themselves', 'freely', 'so', 'long', 'as', 'that', 'expression', 'is', 'jew', 'approved', 'i', 'gather', 'the', 'nfl', 'hates', 'you']",7,['African'],offensive,6,['African'],offensive,4,['Jewish'],offensive,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]]",offensive,['African']
